2023-06-05 21:42:12,918 INFO    Thread-49 :24544 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_setup.py:_flush():76] Configure stats pid to 24544
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Vlady\.config\wandb\settings
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Vlady\Notebooks\DTC\mlops-zoomcamp\Week 2\wandb\settings
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'jorgeabrego', 'project': 'mlopszoomcamp', 'root_dir': 'C:\\Users\\Vlady\\Notebooks\\DTC\\mlops-zoomcamp\\Week 2', 'run_id': '0r9bw5en', 'sweep_param_path': 'C:\\Users\\Vlady\\Notebooks\\DTC\\mlops-zoomcamp\\Week 2\\wandb\\sweep-574p66d6\\config-0r9bw5en.yaml', 'sweep_id': '574p66d6'}
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Week 2\\homework-wandb\\sweep.py', 'program': 'C:\\Users\\Vlady\\Notebooks\\DTC\\mlops-zoomcamp\\Week 2\\homework-wandb\\sweep.py'}
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\Vlady\Notebooks\DTC\mlops-zoomcamp\Week 2\wandb\run-20230605_214212-0r9bw5en\logs\debug.log
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\Vlady\Notebooks\DTC\mlops-zoomcamp\Week 2\wandb\run-20230605_214212-0r9bw5en\logs\debug-internal.log
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_init.py:init():547] calling init triggers
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_init.py:init():554] wandb.init called with sweep_config: {'max_depth': 14, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 16}
config: {}
2023-06-05 21:42:12,919 INFO    Thread-49 :24544 [wandb_init.py:init():596] starting backend
2023-06-05 21:42:12,920 INFO    Thread-49 :24544 [wandb_init.py:init():600] setting up manager
2023-06-05 21:42:12,925 INFO    Thread-49 :24544 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-06-05 21:42:12,930 INFO    Thread-49 :24544 [wandb_init.py:init():606] backend started and connected
2023-06-05 21:42:12,935 INFO    Thread-49 :24544 [wandb_run.py:_config_callback():1286] config_cb None None {'max_depth': 14, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 16}
2023-06-05 21:42:12,936 INFO    Thread-49 :24544 [wandb_init.py:init():700] updated telemetry
2023-06-05 21:42:12,973 INFO    Thread-49 :24544 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-06-05 21:42:13,694 INFO    Thread-49 :24544 [wandb_run.py:_on_init():2177] communicating current version
2023-06-05 21:42:14,061 INFO    Thread-49 :24544 [wandb_run.py:_on_init():2186] got version response 
2023-06-05 21:42:14,061 INFO    Thread-49 :24544 [wandb_init.py:init():787] starting run threads in backend
2023-06-05 21:42:16,226 INFO    Thread-49 :24544 [wandb_run.py:_console_start():2158] atexit reg
2023-06-05 21:42:16,227 INFO    Thread-49 :24544 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-06-05 21:42:16,227 INFO    Thread-49 :24544 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-06-05 21:42:16,227 INFO    Thread-49 :24544 [wandb_run.py:_redirect():2103] Redirects installed.
2023-06-05 21:42:16,227 INFO    Thread-49 :24544 [wandb_init.py:init():829] run started, returning control to user process
2023-06-05 21:42:21,519 INFO    Thread-49 :24544 [wandb_run.py:_finish():1893] finishing run jorgeabrego/mlopszoomcamp/0r9bw5en
2023-06-05 21:42:21,519 INFO    Thread-49 :24544 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 0
2023-06-05 21:42:21,520 INFO    Thread-49 :24544 [wandb_run.py:_restore():2110] restore
2023-06-05 21:42:21,520 INFO    Thread-49 :24544 [wandb_run.py:_restore():2116] restore done
2023-06-05 21:42:29,491 INFO    Thread-49 :24544 [wandb_run.py:_footer_history_summary_info():3469] rendering history
2023-06-05 21:42:29,491 INFO    Thread-49 :24544 [wandb_run.py:_footer_history_summary_info():3501] rendering summary
2023-06-05 21:42:29,494 INFO    Thread-49 :24544 [wandb_run.py:_footer_sync_info():3428] logging synced files
